Logarithmic_min_energies (with adaptive stepsize),Quadratic_min_energies (with adaptive stepsize),Boltzmann_min_energies (with adaptive stepsize),Cooling_Schedule_Pair,t-Statistic,p-Value
3.8783951378338783,4.2044402725262415,1.657405052445874,,,
4.663681498460508,4.1804906794313235,4.634749813056755,,,
3.5146784008114698,5.809424437576346,5.677153974568761,,,
5.624259936414462,3.695601034836381,4.6674497012672775,,,
4.220051476610197,5.200840741533527,3.8817574172372944,,,
5.313474724448623,5.323953063931055,6.306187919489574,,,
5.0242942829956085,2.107164501383337,4.093229701101123,,,
4.104473935185678,5.404941166550698,5.6149497495161205,,,
4.897187711378449,2.8826168317008847,4.739777341450397,,,
3.8744168290904306,3.1944747811730467,2.6359970498739766,,,
3.4638316466313155,1.436070224126096,5.77868040260145,,,
2.3456527422338933,5.444122865848473,5.605684112371339,,,
5.473029374713881,4.999699297680322,5.35318706139689,,,
3.02804874859529,4.718080711950293,3.321634933197201,,,
2.887579308188083,5.157581083549745,5.134709658677439,,,
5.009819334449075,3.9529264213385487,7.316505352767037,,,
4.836032317769339,5.33939311337495,3.784621246713939,,,
4.933442412938983,5.866104419403481,5.2421337069973335,,,
4.88447094727399,3.56273200257197,3.500651404713185,,,
5.34194747539947,5.314435924228588,3.3659455763998656,,,
5.4927590796924,4.847149008914986,3.2455229937470818,,,
3.70398559823871,4.1213824122343015,4.797837872151835,,,
2.769219162009469,3.547166322497329,5.5071099628156865,,,
5.621042346386407,3.1178884641656115,3.729316587624362,,,
5.06149588975305,3.447152475035638,3.74922162889892,,,
3.809474311526996,2.078602922642093,4.710526126757045,,,
3.1040541345367516,5.48264629350054,6.038203206847394,,,
2.768014472654609,4.865962208059019,4.697284279461845,,,
5.958886405888597,4.51584437268934,5.204063986074924,,,
4.099730615846968,3.999205457617221,4.958530427651264,,,
5.794693848794462,5.114824995192405,4.707922283992416,,,
4.812016516503313,5.756586448086289,4.2466565061483195,,,
4.07707058315812,4.374259466758529,5.081392867507821,,,
5.392907593605961,3.1314757718542303,2.403033666947639,,,
4.857575699845008,3.683585055695908,4.874648808783327,,,
3.12156577511349,5.183907198016597,5.314991921618129,,,
4.521434832866136,5.9339727562747955,3.742938433843279,,,
3.913468289879109,6.4914543853367,3.295267461521243,,,
4.292485499027142,5.055857539031225,4.583610540912061,,,
4.864873487930559,3.9683028244980902,3.290777024694323,,,
3.989037436549395,4.4422435754207,6.022256817183275,,,
5.533831175305048,3.944126052057081,4.874880019966557,,,
4.740986643193603,4.38706584691395,4.918197563467191,,,
3.526940926643618,3.088569666017863,3.812884253718289,,,
2.672707298552667,5.65271416345544,3.4435299063613876,,,
2.840370029519256,4.420198308044914,6.20714320212719,,,
5.978198006828912,2.942193495573,4.297456017000844,,,
4.77499844038221,5.781028688208032,3.688921875809343,,,
5.325007288206949,4.872263817088635,4.268272419963242,,,
4.927788569813504,2.8837254679611557,4.398988217556031,,,
3.1260769865250237,6.202205388072081,5.233588305521142,,,
4.188549425151659,5.644630479158013,3.713565298703712,,,
1.5503205929295971,4.002684711104376,4.404220759965168,,,
3.907788085002021,3.282656764742251,4.4370929289491965,,,
5.439242826507624,5.360230922944368,4.876684169436523,,,
2.583222275922081,6.115687976229307,5.182280199310558,,,
1.726630745329088,5.184169782144326,4.1816019113299605,,,
5.016823673131847,5.0496493836422145,4.47278328088743,,,
3.5379010603942653,4.479619335781381,3.391334790026838,,,
5.377507416385089,6.210688136416947,5.444261701399648,,,
4.366649245376188,3.5065982467253685,5.569596288549532,,,
3.003476760888372,4.38117659877839,3.1821680509150303,,,
2.45665321728867,4.449621764629766,4.688184027060695,,,
3.181158312063096,5.03957272686048,4.50291966964662,,,
3.24173524821363,5.355582115091669,4.062231744837377,,,
4.238123281628712,5.672682714457075,4.588848771879763,,,
3.1761013529970756,3.893660093079121,6.335489712695706,,,
5.156640411005506,5.452779946206762,4.034803613994,,,
2.516627106764722,2.778054589424114,4.153110891605073,,,
4.619320900901994,3.713450822834647,4.633207257790037,,,
4.77207780205878,5.466380754082351,1.8008192440118598,,,
5.218936921447869,4.462791510512059,5.310175843240589,,,
3.6399930658042736,3.4893923123537305,2.8728849039773876,,,
5.274349172595507,4.221717874153717,3.1362731935442705,,,
4.440708548959584,5.483675487690646,4.103268231532008,,,
6.133600913146755,1.9225605532765224,4.810292021553638,,,
4.565974409494874,4.119820834949573,5.835851667715766,,,
3.934874065533256,4.997579272572878,4.106727004943939,,,
4.044052312130832,2.3069843578774822,3.006654644161517,,,
3.640036774272594,4.118981304173956,5.875468885219613,,,
5.474330929148569,5.0258878780273815,5.851658025251367,,,
2.255767413364951,3.648656195672079,3.613983699855361,,,
4.1586214902131395,5.491223777369817,4.197700476110371,,,
1.762248348656242,3.6686362343629098,4.57164337927188,,,
3.292176838874849,4.087549006077277,4.985087701755366,,,
2.427482343455291,4.349314723683068,2.9528470120225867,,,
3.993239482023094,6.115166568502928,6.338408872930294,,,
5.385540967204539,6.117786667175088,3.5745127181664453,,,
5.2653022090944965,3.758111705545871,4.417634602748989,,,
2.2527697977584724,4.889208552014773,4.683045863047789,,,
5.412644161176525,4.725277306763369,2.380550882954678,,,
5.214836899075768,6.008980155433724,5.176818015896412,,,
4.801616347599805,4.166013553478335,0.8200437217524099,,,
4.642053178800868,4.683117084118899,4.4315312283220605,,,
2.518894489394731,5.233114391310915,4.261654398224604,,,
2.7202483528963763,3.0436799814995017,5.2058600459333055,,,
3.8948854657344834,5.590066447703506,4.400294821488306,,,
3.697130802997051,4.1862411802619865,3.67553372250787,,,
